Expt #,Expt A,Expt B,Expt C,Expt D
1,125.8017598,150.4812546,107.4319944,124.3390033
2,126.8230764,159.1167485,109.6396856,106.388611
3,88.38404621,241.8292179,115.7303731,82.9660632
4,117.502712,135.1203708,120.7766868,120.2128676
5,127.9089977,122.9159927,137.9093026,165.5659796
6,106.4197044,91.29330188,127.9726314,137.0944499
7,132.4676492,110.2393799,115.5749926,127.241286
8,121.2486662,117.4734361,113.7090891,146.2991895
9,104.2821048,32.21124796,135.3379627,143.3698242
10,117.536064,107.1321188,147.3354038,55.34194818
11,103.8881402,157.4770943,121.6743908,120.7509741
12,91.7021568,91.46178455,115.2113483,102.9615697
13,107.1691747,144.7116688,105.8734612,38.63890939
14,100.7244534,169.5720219,129.7498806,66.85789793
15,92.70737664,173.8570057,122.8971898,107.2045752
16,135.4203913,158.8420899,131.6540825,153.0172186
17,104.4254614,7.007982423,110.9129438,110.8282876
18,154.6075517,91.78116544,122.4057504,130.4900325
19,94.07669233,165.0745718,113.4595366,84.08081821
20,111.285911,139.7337766,132.7495454,33.70789176
21,131.6524133,120.2427212,114.4880939,123.7566703
22,154.5846025,141.8459314,119.1259113,81.95274141
23,106.0712856,176.503636,116.5217968,166.9035972
24,84.19483043,127.6885371,129.9396253,189.4038347
25,116.0676047,82.06864216,124.2843617,105.1321582
26,73.60194595,110.9918451,109.9581472,167.7145651
27,94.52308481,109.6105207,113.6731212,158.145921
28,105.4373384,164.8372644,109.5429001,63.3982186
29,129.7910702,140.6153851,125.0570701,118.6657473
30,128.7428305,147.3759844,123.3195372,130.4447105
31,99.44877207,127.3917522,103.6458748,140.9197814
32,118.4786263,101.8866422,100.9315979,147.0714737
33,93.5743916,123.0570648,119.5960128,146.9758263
34,113.2224977,130.8352775,126.9719333,147.1359584
35,138.3058788,50.09387934,121.6880258,107.4968112
36,103.1351922,128.9435186,104.5620367,135.1697506
37,93.98927084,166.3792109,104.4819761,29.8840706
38,89.99930445,114.4911032,128.670778,73.26597213
39,114.3294276,198.6198939,118.5462701,168.0786249
40,126.7457745,148.0245307,116.1375834,93.57045635
41,142.5135989,98.98276972,133.1620411,133.1023616
42,101.0809157,112.3027305,112.0353577,180.3250832
43,103.2607184,106.2400703,121.3544137,84.44364169
44,87.34586519,132.0560227,124.1780643,81.62861478
45,132.2398299,157.7343197,128.1987965,100.2912278
46,98.49102552,105.404505,111.4564662,137.6422632
47,90.53525713,142.922269,123.5731859,111.8094301
48,143.6848157,207.7644316,147.4846656,80.88772285
49,116.1976221,166.5745296,104.8702301,57.0821365
50,114.3268561,161.2632221,124.3397903,105.1895374
51,79.88857731,79.2596433,60.97565682,111.1541814
52,108.6797323,93.28979105,103.7424855,98.59148711
53,110.4028719,132.127583,77.66654286,109.5211131
54,78.15510965,114.9676025,84.03880739,76.18340325
55,95.48411096,38.74757753,91.92468599,141.9693396
56,91.90156447,44.27884238,63.15241151,33.01517735
57,110.5571843,171.3094696,84.1314853,125.7845861
58,79.86074272,82.0936262,85.01745219,146.7613374
59,121.7805354,223.9172395,80.83064345,86.04683361
60,135.6974942,8.900669739,81.57798052,117.7163952
61,93.9249096,142.4381819,74.72057486,131.6714506
62,99.82606737,120.0313058,87.230607,95.41525839
63,110.1327005,82.18803454,71.50058348,119.4542725
64,124.0650398,140.2162413,72.03615949,136.4845398
65,110.4403546,80.30735624,87.25337571,82.51401619
66,107.9409218,162.9891598,96.86544477,153.4062815
67,90.34378319,123.3434605,76.13605831,163.7815384
68,95.37005611,38.03063032,74.94921586,132.8472293
69,112.2677042,-1.237495669,84.08073895,120.6045135
70,133.6570107,105.8085037,90.72356142,73.42029835
71,111.3678715,177.2903149,89.67982891,139.7936299
72,75.87941492,129.0584645,82.70145533,71.36604061
73,108.6612078,122.7125114,73.65593464,183.6315191
74,98.15758503,154.3876827,86.2976318,141.0590019
75,95.11890124,50.3296349,79.20766246,130.5927437
76,95.61622674,191.2682868,93.76949166,104.2560844
77,82.40466567,75.30744211,65.9178751,32.94759847
78,93.5839135,121.888235,81.41231683,72.17382272
79,84.31169412,101.8215356,92.89719395,134.6131357
80,92.70074944,127.4778241,75.05063701,216.4977223
81,102.3454114,22.77409469,73.75175048,149.6098888
82,103.4867938,196.1947447,70.66365706,132.3898555
83,95.68687174,147.2905084,77.21275086,98.32051268
84,96.94777041,220.4963747,77.99475041,124.8913274
85,100.6737644,190.833533,81.36741163,158.4911733
86,109.1656441,120.5740333,71.16651141,109.8410063
87,125.6326244,73.04753395,80.82537923,195.6702396
88,112.401801,33.0545806,73.96125102,71.18983451
89,94.26652275,120.8485486,76.31271736,104.9505142
90,111.9603143,130.9579547,71.61829577,122.097166
91,95.08934649,172.2910305,77.17524959,41.84265198
92,64.3852565,72.4508673,115.6986778,142.6168228
93,53.05521542,159.7398711,114.0753237,123.1117785
94,65.72809402,123.5714905,91.4691786,123.2280475
95,95.25745478,81.31565489,87.87257533,151.7883124
96,87.6074837,158.7080922,67.21862631,161.7475575
97,85.59679241,133.2827359,74.15406899,152.0873859
98,100.8131435,108.2447235,73.80594336,101.2470254
99,86.82037143,213.8646112,85.35301046,118.136305
100,87.38969934,150.4619701,84.82987053,134.1381214
