Group A,Group B,Group C,Group D
122.5525507,72.36484243,136.3542757,119.6334354
148.0752401,88.57786054,142.9105671,133.959354
90.14998623,74.0173896,106.5126705,129.2157885
111.925104,62.0026296,111.8943589,158.2970351
88.3643127,92.69490923,144.2323025,147.2463093
129.5376231,81.34907182,127.9017161,166.1872416
131.1486725,76.2575891,139.955618,129.0374913
85.06185544,85.8345491,112.7083935,133.0346638
139.1552672,99.75389384,100.5915569,152.9676731
93.72952322,87.8586914,143.7016051,170.0476586
113.4022846,83.89102748,151.4795287,79.43276078
126.483938,85.59569913,159.3770299,149.8150454
112.2078313,81.02440624,102.4205871,111.0148638
144.4349872,64.51067512,105.9366567,154.897993
151.2883682,95.73563421,103.470763,124.719864
112.0747659,108.178139,129.2500647,151.4904146
81.39400687,69.31802832,118.920868,103.2965407
104.5251051,118.5551686,153.6547866,162.7861254
97.27834983,76.47504905,103.8088015,94.48089673
98.52869953,75.12499275,98.63771403,152.7227978
93.08457778,62.04798683,133.6954843,132.3407016
111.1728334,64.1532627,151.4727472,122.0324577
141.5994448,60.94050618,115.5491842,132.2540301
99.2622891,87.07810908,107.2185444,171.9450782
105.7922651,111.9405265,127.3120356,125.7876231
127.4971251,90.54940502,100.5439598,133.8275013
128.1923213,97.08404602,130.3121982,127.9063224
117.2831148,106.8369304,144.9109708,134.4979834
125.3902473,30.00933116,133.9192903,102.5887432
123.0608903,76.64881356,95.63359178,137.3046975
